#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

emperor|The Roman {{c1::emperor}} ruled over vast territories across Europe and Asia|The Roman emperor ruled over vast territories across Europe and Asia|罗马皇帝统治着横跨欧洲和亚洲的广大领土|The male sovereign or supreme ruler of an empire|帝国的男性君主或最高统治者|emperor|noun|sovereign, monarch, ruler, king, caesar, potentate|subject, citizen
emperor|The {{c1::emperor}} butterfly is known for its distinctive coloration|The emperor butterfly is known for its distinctive coloration|皇蝶以其独特的色彩而闻名|A large butterfly with orange or brownish wings with dark markings|一种翅膀呈橙色或棕色并带有深色斑纹的大型蝴蝶|emperor|noun||
exact|The scientist needed {{c1::exact}} measurements for the experiment|The scientist needed exact measurements for the experiment|科学家需要精确的测量数据来进行实验|Precisely correct or true; not deviating from fact or truth|精确正确或真实的；不偏离事实或真相|exact|adjective|precise, accurate, correct, right, perfect, true|inexact, approximate, inaccurate, wrong
exacts|The government {{c1::exacts}} taxes from its citizens|The government exacts taxes from its citizens|政府向公民征税|To demand and obtain (something) from someone|向某人要求并获得（某物）|exact|verb|demand, require, impose, extract, obtain|give, offer, provide
traditional|They celebrated with a {{c1::traditional}} wedding ceremony|They celebrated with a traditional wedding ceremony|他们举行了传统的婚礼仪式|Following or conforming to tradition; adhering to past customs or practices|遵循或符合传统的；坚持过去的习俗或做法|traditional|adjective|conventional, customary, established, orthodox, classic, old-fashioned|modern, contemporary, unconventional, innovative, progressive, nontraditional
traditional|{{c1::traditional}} farming methods have been used in this region for centuries|Traditional farming methods have been used in this region for centuries|传统的农耕方法在这个地区已使用了几个世纪|Handed down from age to age; long-established|代代相传的；由来已久的|traditional|adjective|ancestral, inherited, time-honored, age-old, historic|new, novel, recent, current
lack|The project failed due to a {{c1::lack}} of funding|The project failed due to a lack of funding|该项目因缺乏资金而失败|The state of being without or not having enough of something|没有或没有足够某物的状态|lack|noun|absence, shortage, deficiency, scarcity, want, dearth|abundance, surplus, excess, plenty
lacks|She {{c1::lacks}} the qualifications needed for the position|She lacks the qualifications needed for the position|她缺乏这个职位所需的资格|To be without or deficient in something|缺少或缺乏某物|lack|verb|need, want, require, miss, be without|have, possess, own, include
pardon|He asked for her {{c1::pardon}} after the misunderstanding|He asked for her pardon after the misunderstanding|误会之后，他请求她的原谅|Forgiveness for an offense or wrongdoing|对过错或不当行为的宽恕|pardon|noun|forgiveness, absolution, clemency, amnesty, exoneration|punishment, condemnation, penalty
pardoned|The governor {{c1::pardoned}} three inmates last week|The governor pardoned three inmates last week|州长上周特赦了三名囚犯|To forgive someone for an offense or release them from punishment|原谅某人的过错或免除其惩罚|pardon|verb|forgive, excuse, absolve, exonerate, acquit|punish, condemn, penalize, blame
