#deck:Speak::Workplace::Collaboration
#notetype:TypeAnswerAndListen

我接丢了球（意为“我犯错了”）。;I dropped the ball.
我们遇到了一些延误。;We've run into some delays.
我们遇到了一些困难。;We've run into some hurdles.
我们遇到了一些障碍。;We've run into some roadblocks.
你能在明天之前把合同签了吗？;Can you have the contract signed by tomorrow?
你能在周二之前把电子邮件发出去吗？;Can you have the email sent by Tuesday?
你能在周五之前搞定吗？;Can you have it done by Friday?
今天结束前;the end of the day
周末之前;the end of the week
我会在今天结束前准备好文件。;I'll have the doc prepared by the end of the day.
我会在本周未之前把报告弄完。;I'll have the report finished by the end of the week.
我会在今天结束前搞定。;I'll have it done by the end of the day.
你能在本周五之前把合同签了吗？;Can you have the contract signed by Friday?
你能在今天结束前把笔记写好吗？;Can you have the notes written by the end of the day?  
你能在本周末之前完成提案吗？;Can you have the proposal done by the end of the week?  
你能在本周末之前把报告弄完吗？;Can you have the report finished by the end of the week?  
你能在今天结束前把文件准备好吗？;Can you have the doc prepared by the end of the day?  
你能在本周末之前把合同签了吗？;Can you have the contract signed by the end of the week?  
你能在本周末之前把笔记写好吗？;Can you have the notes written by the end of the week?  
你能在今天结束之前把报告弄完吗？;Can you have the report finished by the end of the day?  
我会在今晚之前某个时间把电子邮件发出去。;I'll have the email sent by sometime tonight.  
我会在下周一前的某个时间把文件准备好。;I'll have the doc prepared by sometime next Monday.  
我会在明天某个时间前把视频编辑好。;I'll have the videos edited by sometime tomorrow.  
我会在本周某个时间前把合同签下来。;I'll have the contract signed by sometime this week.  
我会在今天某个时间前把笔记写好。;I'll have the notes written by sometime today.  
我会在明天某个时间着手处理这件事。;I'll get to it sometime tomorrow.  
我会在有时间的时候着手处理这件事。;I'll get to it when I have time.  
我会在今天晚些时候着手处理这件事。;I'll get to it later today.  
我会在本周末之前着手处理这件事。;I'll get to it by the end of the week.  
我们遇到了一些障碍。;We've run into some roadblocks.  
我们遇到了一些小挫折。;We've run into some hiccups.  
我们遇到了一些延误。;We've run into some delays.  
我们遇到了一些困难。;We've run into some hurdles.  
我们遇到了一些意想不到的困难。;We've run into some unexpected difficulties.  
我们遇到了一些最后期限方面的困难。;We've run into some hurdles with the deadline.  
我们遇到了预算方面一些意想不到的问题。;We've run into some unexpected issues with the budget.  
我们遇到了一些最后期限方面的小问题。;We've run into some hiccups with the deadline.  
为了避免出现任何意想不到的困难，让我们来分派任务。;To avoid any unexpected difficulties, let's delegate tasks.  
为了避免出现任何障碍，让我们下次提前计划。;To avoid any roadblocks, let's plan ahead next time.  
为了避免出现任何意外问题，让我们来监控我们的开支。;To avoid any unexpected issues, let's monitor our expenses.  
为了避免出现任何问题，让我们来监控我们的开支。;To avoid any hiccups, let's monitor our expenses.  
为了避免出现任何延误，让我们来分派任务。;To avoid any delays, let's delegate tasks.  
为了避免出现任何意想不到的困难，让我们下次提前计划。;To avoid any unexpected difficulties, let's plan ahead next time.  
嗯，我们遇到了一些意想不到的困难。;Well, we've run into some unexpected difficulties.  
为了避免任何意外，我们下次还是提前计划吧。;To avoid any hiccups, let's plan ahead next time.
我会让我的团队回复你。;I'll have my team get back to you.  
我会把这个提案给我的上司过目。;I'll have my boss look over this proposal.  
我会让我的秘书给你打电话。;I'll have my secretary call you.  
我会让人联系（你）。;l'll have someone reach out.  
我会让人给你发电子邮件。;l'll have someone email you.  
我会让我的秘书在下周某个时间前给你打电话。;I'll have my secretary call you by sometime next week.  
我会让人在月底前联系你。;I'll have someone reach out by the end of the month.  
我会让人在下周一某个时间前给你发电子邮件。;l'll have someone email you by sometime next Monday.  
我会在本周末之前把这个提案给我的上司过目。;I'll have my boss look over this proposal by the end of the week.  
我会让我的团队在月底前回复你。;I'll have my team get back to you by the end of the month.  
我会让人在本周某个时间前给你发电子邮件。;I'll have someone email you by sometime this week.  
他会在明天某个时间前把文件准备好。;He'll have the doc prepared by sometime tomorrow.  
Michael 将在十一点前把合同签下来。;Michael will have the contract signed by eleven.  
她会在五点前把电子邮件发出去。;She'll have the email sent by five.  
他们会在今天某个时候把合同签下来。;They'll have the contract signed by sometime today.  
他们会在中午之前把文件准备好。;They'll have the doc prepared by noon.  
Jenny 将在明天某个时间前把文件准备好。;Jenny will have the doc prepared by sometime tomorrow.  
他会在五点前把电子邮件发出去。;He'll have the email sent by five.  
我会让我的秘书在今天结束前给你打电话。;I'll have my secretary call you by the end of the day.  
