#deck:Speak::Basic1::BeVerb1
#notetype:TypeAnswerAndListen

我在纽约。;I'm in New York.
天气怎么样？;How's the weather?
悉尼的天气怎么样？;How's the weather in Sydney?
纽约的天气怎么样？;How's the weather in New York?
旧金山的天气怎么样？;How's the weather in San Francisco?
风很大。;It's windy.
很冷。;It's chilly.
很潮湿。;It's humid.
很热。;It's hot.
又热又潮湿。;It's hot and humid.
美国的天气怎么样？;How's the weather in the U.S.?
西雅图的天气怎么样？;How's the weather in Seattle?
洛杉矶的天气怎么样？;How's the weather in L.A.?
温哥华的天气怎么样？;How's the weather in Vancouver?
有雾;foggy
多云。;It's cloudy.
多雨。;It's rainy.
晴朗。;It's sunny.
很干燥。;It's dry.
又冷又干燥。;It's chilly and dry.
又冷又多雨。;It's chilly and rainy.
又冷又有风。;It's chilly and windy.
你怎么样啊？;How's it going?
相当不错，你呢？;Pretty good, you?
就是在忙工作上的事情。;Just busy with work.
嗨，你怎么样啊？;Hi. How's it going?
很好，谢谢(询问)。;Good thanks.
相当不错，谢谢。;Pretty good, thanks.
不是很好。;Not great.
还不错。;Not bad.
还不错，你呢？;Not bad, you?
就是在忙学校的事情。;Just busy with school.
很好，就是在忙工作上的事情。;Good. Just busy with work.
相当不错，就是在忙学校的事情。;Pretty good. Just busy with school.
没什么好抱怨的。;Can't complain.
嗨，你怎么样啊？;Hi, how's it going?
嗨，Audrey，你怎么样啊？;Hi, Audrey. How's it going?
嗨，Kai，你怎么样啊？;Hi, Kai. How's it going?
相当不错。;Pretty good.
老样子。;Same old same old.
就是在忙孩子的事情。;Just busy with the kids.
就是在忙一些项目的事情。;Just busy with some projects.
很好，就是在忙一些项目的事情。;Good. Just busy with some projects.
嗨，Lisa，你怎么样啊？;Hi, Lisa. How's it going?
老样子，你呢？;Same old same old, you?
没什么好抱怨的，你呢？;Can't complain, you?
很好，就是在忙学校的事情。;Good. Just busy with school.
很好，就是在忙学校的事情。你呢？;Good. Just busy with school. You?
